PLAYER,TEAM,AFFILIATION,YEAR,"ROUND
NUMBER","ROUND
PICK","OVERALL
PICK"
Victor Wembanyama,San Antonio Spurs,Metropolitans 92 (France),2023,1,1,1
Tristan Vukcevic,Washington Wizards,Real Madrid Baloncesto (Spain),2023,2,12,42
Trayce Jackson-Davis,Washington Wizards,Indiana,2023,2,27,57
Toumani Camara,Phoenix Suns,Dayton,2023,2,22,52
Taylor Hendricks,Utah Jazz,Central Florida,2023,1,9,9
Tarik Biberovic,Memphis Grizzlies,Fenerbahce S.K. (Turkey),2023,2,26,56
Sidy Cissoko,San Antonio Spurs,Ignite (G League),2023,2,14,44
Seth Lundy,Atlanta Hawks,Penn State,2023,2,16,46
Scoot Henderson,Portland Trail Blazers,Ignite (G League),2023,1,3,3
Rayan Rupert,Portland Trail Blazers,Breakers (New Zealand),2023,2,13,43
Olivier-Maxence Prosper,Sacramento Kings,Marquette,2023,1,24,24
Noah Clowney,Brooklyn Nets,Alabama,2023,1,21,21
Nick Smith Jr.,Charlotte Hornets,Arkansas,2023,1,27,27
Mouhamed Gueye,Charlotte Hornets,Washington State,2023,2,9,39
Mojave King,Los Angeles Lakers,Ignite (G League),2023,2,17,47
Maxwell Lewis,Denver Nuggets,Pepperdine,2023,2,10,40
Marcus Sasser,Memphis Grizzlies,Houston,2023,1,25,25
Leonard Miller,San Antonio Spurs,Ignite (G League),2023,2,3,33
Kris Murray,Portland Trail Blazers,Iowa,2023,1,23,23
Kobe Bufkin,Atlanta Hawks,Michigan,2023,1,15,15
Kobe Brown,LA Clippers,Missouri,2023,1,30,30
Keyonte George,Utah Jazz,Baylor,2023,1,16,16
Keyontae Johnson,Oklahoma City Thunder,Kansas State,2023,2,20,50
Julian Strawther,Indiana Pacers,Gonzaga,2023,1,29,29
Julian Phillips,Boston Celtics,Tennessee,2023,2,5,35
Jordan Walsh,Sacramento Kings,Arkansas,2023,2,8,38
Jordan Miller,LA Clippers,Miami (FL),2023,2,18,48
Jordan Hawkins,New Orleans Pelicans,Connecticut,2023,1,14,14
Jett Howard,Orlando Magic,Michigan,2023,1,11,11
Jaylen Clark,Minnesota Timberwolves,California-Los Angeles,2023,2,23,53
Jarace Walker,Washington Wizards,Houston,2023,1,8,8
James Nnaji,Detroit Pistons,FC Barcelona Basquet (Spain),2023,2,1,31
Jalen Wilson,Brooklyn Nets,Kansas,2023,2,21,51
Jalen Slawson,Sacramento Kings,Furman,2023,2,24,54
Jalen Pickett,Indiana Pacers,Penn State,2023,2,2,32
Jalen Hood-Schifino,Los Angeles Lakers,Indiana,2023,1,17,17
Jaime Jaquez Jr.,Miami Heat,California-Los Angeles,2023,1,18,18
Isaiah Wong,Indiana Pacers,Miami (FL),2023,2,25,55
Hunter Tyson,Oklahoma City Thunder,Clemson,2023,2,7,37
Gradey Dick,Toronto Raptors,Kansas,2023,1,13,13
GG Jackson,Memphis Grizzlies,South Carolina,2023,2,15,45
Emoni Bates,Cleveland Cavaliers,Eastern Michigan,2023,2,19,49
Dereck Lively II,Oklahoma City Thunder,Duke,2023,1,12,12
Dariq Whitehead,Brooklyn Nets,Duke,2023,1,22,22
Colby Jones,Charlotte Hornets,Xavier,2023,2,4,34
Chris Livingston,Milwaukee Bucks,Kentucky,2023,2,28,58
Cason Wallace,Dallas Mavericks,Kentucky,2023,1,10,10
Cam Whitmore,Houston Rockets,Villanova,2023,1,20,20
Brice Sensabaugh,Utah Jazz,Ohio State,2023,1,28,28
Brandon Miller,Charlotte Hornets,Alabama,2023,1,2,2
Brandin Podziemski,Golden State Warriors,Santa Clara,2023,1,19,19
Bilal Coulibaly,Indiana Pacers,Metropolitans 92 (France),2023,1,7,7
Ben Sheppard,Indiana Pacers,Belmont,2023,1,26,26
Ausar Thompson,Detroit Pistons,Overtime Elite,2023,1,5,5
Anthony Black,Orlando Magic,Arkansas,2023,1,6,6
Andre Jackson Jr.,Orlando Magic,Connecticut,2023,2,6,36
Amen Thompson,Houston Rockets,Overtime Elite,2023,1,4,4
Amari Bailey,Charlotte Hornets,California-Los Angeles,2023,2,11,41
Yannick Nzosa,Washington Wizards,Unicaja Baloncesto Malaga (Spain),2022,2,24,54
Wendell Moore Jr.,Dallas Mavericks,Duke,2022,1,26,26
Walker Kessler,Memphis Grizzlies,Auburn,2022,1,22,22
Vince Williams Jr.,Memphis Grizzlies,Virginia Commonwealth,2022,2,17,47
Tyrese Martin,Golden State Warriors,Connecticut,2022,2,21,51
TyTy Washington Jr.,Memphis Grizzlies,Kentucky,2022,1,29,29
Trevor Keels,New York Knicks,Duke,2022,2,12,42
Tari Eason,Houston Rockets,Louisiana State,2022,1,17,17
Shaedon Sharpe,Portland Trail Blazers,Kentucky,2022,1,7,7
Ryan Rollins,Atlanta Hawks,Toledo,2022,2,14,44
Peyton Watson,Oklahoma City Thunder,California-Los Angeles,2022,1,30,30
Patrick Baldwin Jr.,Golden State Warriors,Wisconsin-Milwaukee,2022,1,28,28
Paolo Banchero,Orlando Magic,Duke,2022,1,1,1
Ousmane Dieng,New York Knicks,Breakers (New Zealand),2022,1,11,11
Ochai Agbaji,Cleveland Cavaliers,Kansas,2022,1,14,14
Nikola Jovic,Miami Heat,KK Mega Leks (Serbia),2022,1,27,27
Moussa Diabate,LA Clippers,Michigan,2022,2,13,43
Max Christie,Los Angeles Lakers,Michigan State,2022,2,5,35
Matteo Spagnolo,Minnesota Timberwolves,Vanoli Cremona (Italy),2022,2,20,50
Mark Williams,Charlotte Hornets,Duke,2022,1,15,15
MarJon Beauchamp,Milwaukee Bucks,Ignite (G League),2022,1,24,24
Malaki Branham,San Antonio Spurs,Ohio State,2022,1,20,20
Luke Travers,Cleveland Cavaliers,Perth Wildcats (Australia),2022,2,26,56
Khalifa Diop,Cleveland Cavaliers,CB Gran Canaria (Spain),2022,2,9,39
Kennedy Chandler,San Antonio Spurs,Tennessee,2022,2,8,38
Kendall Brown,Minnesota Timberwolves,Baylor,2022,2,18,48
Keegan Murray,Sacramento Kings,Iowa,2022,1,4,4
Karlo Matkovic,New Orleans Pelicans,Mega Mozzart (Serbia),2022,2,22,52
Josh Minott,Charlotte Hornets,Memphis,2022,2,15,45
Johnny Davis,Washington Wizards,Wisconsin,2022,1,10,10
Jeremy Sochan,San Antonio Spurs,Baylor,2022,1,9,9
Jaylin Williams,Oklahoma City Thunder,Arkansas,2022,2,4,34
Jalen Williams,Oklahoma City Thunder,Santa Clara,2022,1,12,12
Jalen Duren,Charlotte Hornets,Memphis,2022,1,13,13
Jake LaRavia,Minnesota Timberwolves,Wake Forest,2022,1,19,19
Jaden Ivey,Detroit Pistons,Purdue,2022,1,5,5
Jaden Hardy,Sacramento Kings,Ignite (G League),2022,2,7,37
Jabari Walker,Portland Trail Blazers,Colorado,2022,2,27,57
Jabari Smith Jr.,Houston Rockets,Auburn,2022,1,3,3
JD Davison,Boston Celtics,Alabama,2022,2,23,53
Ismael Kamagate,Detroit Pistons,Paris (France),2022,2,16,46
Isaiah Mobley,Cleveland Cavaliers,Southern California,2022,2,19,49
Hugo Besson,Indiana Pacers,Breakers (New Zealand),2022,2,28,58
Gui Santos,Golden State Warriors,Associacao Atletica Ponte Preta (Brazil),2022,2,25,55
Gabriele Procida,Portland Trail Blazers,Fortitudo Pallacanestro Bologna (Italy),2022,2,6,36
E.J. Liddell,New Orleans Pelicans,Ohio State,2022,2,11,41
Dyson Daniels,New Orleans Pelicans,Ignite (G League),2022,1,8,8
David Roddy,Philadelphia 76ers,Colorado State,2022,1,23,23
Dalen Terry,Chicago Bulls,Arizona State,2022,1,18,18
Christian Koloko,Toronto Raptors,Arizona,2022,2,3,33
Christian Braun,Denver Nuggets,Kansas,2022,1,21,21
Chet Holmgren,Oklahoma City Thunder,Gonzaga,2022,1,2,2
Caleb Houstan,Orlando Magic,Michigan,2022,2,2,32
Bryce McGowens,Minnesota Timberwolves,Nebraska,2022,2,10,40
Blake Wesley,San Antonio Spurs,Notre Dame,2022,1,25,25
Bennedict Mathurin,Indiana Pacers,Arizona,2022,1,6,6
Andrew Nembhard,Indiana Pacers,Gonzaga,2022,2,1,31
AJ Griffin,Atlanta Hawks,Duke,2022,1,16,16
Ziaire Williams,New Orleans Pelicans,Stanford,2021,1,10,10
Usman Garuba,Houston Rockets,Madrid (ESP),2021,1,23,23
Trey Murphy III,Memphis Grizzlies,Virginia,2021,1,17,17
Tre Mann,Oklahoma City Thunder,Florida,2021,1,18,18
Sharife Cooper,Atlanta Hawks,Auburn,2021,2,18,48
Scottie Lewis,Charlotte Hornets,Florida,2021,2,26,56
Scottie Barnes,Toronto Raptors,Florida State,2021,1,4,4
Santi Aldama,Utah Jazz,Loyola-Maryland,2021,1,30,30
Sandro Mamukelashvili,Indiana Pacers,Seton Hall,2021,2,24,54
Rokas Jokubaitis,Oklahoma City Thunder,BC Zalgiris (Lithuania),2021,2,4,34
RaiQuan Gray,Brooklyn Nets,Florida State,2021,2,29,59
Quentin Grimes,LA Clippers,Houston,2021,1,25,25
Neemias Queta,Sacramento Kings,Utah State,2021,2,9,39
Moses Moody,Golden State Warriors,Arkansas,2021,1,14,14
Miles McBride,Oklahoma City Thunder,West Virginia,2021,2,6,36
Marcus Zegarowski,Brooklyn Nets,Creighton,2021,2,19,49
Luka Garza,Detroit Pistons,Iowa,2021,2,22,52
Kessler Edwards,Brooklyn Nets,Pepperdine,2021,2,14,44
Keon Johnson,New York Knicks,Tennessee,2021,1,21,21
Kai Jones,New York Knicks,Texas,2021,1,19,19
Juhann Begarin,Boston Celtics,Paris (France),2021,2,15,45
Joshua Primo,San Antonio Spurs,Alabama,2021,1,12,12
Josh Giddey,Oklahoma City Thunder,NBA Global Academy (Australia),2021,1,6,6
Josh Christopher,Houston Rockets,Arizona State,2021,1,24,24
Jonathan Kuminga,Golden State Warriors,Ignite (G League),2021,1,7,7
Joe Wieskamp,San Antonio Spurs,Iowa,2021,2,11,41
Jericho Sims,New York Knicks,Texas,2021,2,28,58
Jeremiah Robinson-Earl,New York Knicks,Villanova,2021,2,2,32
Jason Preston,Orlando Magic,Ohio,2021,2,3,33
Jared Butler,Sacramento Kings,Baylor,2021,2,10,40
James Bouknight,Charlotte Hornets,Connecticut,2021,1,11,11
Jalen Suggs,Orlando Magic,Gonzaga,2021,1,5,5
Jalen Johnson,Atlanta Hawks,Duke,2021,1,20,20
Jalen Green,Houston Rockets,Ignite (G League),2021,1,2,2
Jaden Springer,Philadelphia 76ers,Tennessee,2021,1,28,28
JT Thor,Detroit Pistons,Auburn,2021,2,7,37
Isaiah Todd,Milwaukee Bucks,Ignite (G League),2021,2,1,31
Isaiah Livers,Detroit Pistons,Michigan,2021,2,12,42
Isaiah Jackson,Los Angeles Lakers,Kentucky,2021,1,22,22
Herbert Jones,New Orleans Pelicans,Alabama,2021,2,5,35
Greg Brown III,New Orleans Pelicans,Texas,2021,2,13,43
Georgios Kalaitzakis,Indiana Pacers,BC Nevezis (Greece),2021,2,30,60
Franz Wagner,Orlando Magic,Michigan,2021,1,8,8
Filip Petrusev,Philadelphia 76ers,KK Mega Leks (Serbia),2021,2,20,50
Evan Mobley,Cleveland Cavaliers,Southern California,2021,1,3,3
Day'Ron Sharpe,Phoenix Suns,North Carolina,2021,1,29,29
Davion Mitchell,Sacramento Kings,Baylor,2021,1,9,9
David Johnson,Toronto Raptors,Louisville,2021,2,17,47
Dalano Banton,Toronto Raptors,Nebraska,2021,2,16,46
Corey Kispert,Washington Wizards,Gonzaga,2021,1,15,15
Chris Duarte,Indiana Pacers,Oregon,2021,1,13,13
Charles Bassey,Philadelphia 76ers,Western Kentucky,2021,2,23,53
Cam Thomas,Brooklyn Nets,Louisiana State,2021,1,27,27
Cade Cunningham,Detroit Pistons,Oklahoma State,2021,1,1,1
Brandon Boston Jr.,Memphis Grizzlies,Kentucky,2021,2,21,51
Bones Hyland,Denver Nuggets,Virginia Commonwealth,2021,1,26,26
Balsa Koprivica,Charlotte Hornets,Florida State,2021,2,27,57
Ayo Dosunmu,Chicago Bulls,Illinois,2021,2,8,38
Alperen Sengun,Oklahoma City Thunder,Besiktas (Turkey),2021,1,16,16
Aaron Wiggins,Oklahoma City Thunder,Maryland,2021,2,25,55
Zeke Nnaji,Denver Nuggets,Arizona,2020,1,22,22
Yam Madar,Boston Celtics,Hapoel Galil Elyon (Israel),2020,2,17,47
Xavier Tillman,Sacramento Kings,Michigan State,2020,2,5,35
Vit Krejci,Washington Wizards,Basket Zaragoza 2002 (Spain),2020,2,7,37
Vernon Carey Jr.,Charlotte Hornets,Duke,2020,2,2,32
Udoka Azubuike,Utah Jazz,Kansas,2020,1,27,27
Tyrese Maxey,Philadelphia 76ers,Kentucky,2020,1,21,21
Tyrese Haliburton,Sacramento Kings,Iowa State,2020,1,12,12
Tyrell Terry,Dallas Mavericks,Stanford,2020,2,1,31
Tyler Bey,Philadelphia 76ers,Colorado,2020,2,6,36
Tre Jones,San Antonio Spurs,Duke,2020,2,11,41
Theo Maledon,Philadelphia 76ers,ASVEL Basket (France),2020,2,4,34
Skylar Mays,Atlanta Hawks,Louisiana State,2020,2,20,50
Sam Merrill,New Orleans Pelicans,Utah State,2020,2,30,60
Saddiq Bey,Brooklyn Nets,Villanova,2020,1,19,19
Saben Lee,Utah Jazz,Vanderbilt,2020,2,8,38
Robert Woodard II,Memphis Grizzlies,Mississippi State,2020,2,10,40
Reggie Perry,LA Clippers,Mississippi State,2020,2,27,57
R.J. Hampton,Milwaukee Bucks,Breakers (New Zealand),2020,1,24,24
Precious Achiuwa,Miami Heat,Memphis,2020,1,20,20
Payton Pritchard,Boston Celtics,Oregon,2020,1,26,26
Paul Reed,Philadelphia 76ers,DePaul,2020,2,28,58
Patrick Williams,Chicago Bulls,Florida State,2020,1,4,4
Onyeka Okongwu,Atlanta Hawks,Southern California,2020,1,6,6
Obi Toppin,New York Knicks,Dayton,2020,1,8,8
Nico Mannion,Golden State Warriors,Arizona,2020,2,18,48
Nick Richards,New Orleans Pelicans,Kentucky,2020,2,12,42
Marko Simonovic,Chicago Bulls,KK Mega Leks (Serbia),2020,2,14,44
Malachi Flynn,Toronto Raptors,San Diego State,2020,1,29,29
Leandro Bolmaro,New York Knicks,FC Barcelona Basquet (Spain),2020,1,23,23
LaMelo Ball,Charlotte Hornets,Illawarra (Australia),2020,1,3,3
Kira Lewis Jr.,New Orleans Pelicans,Alabama,2020,1,13,13
Killian Hayes,Detroit Pistons,Ratiopharm Ulm (Germany),2020,1,7,7
KJ Martin,Sacramento Kings,IMG Academy,2020,2,22,52
Justinian Jessup,Golden State Warriors,Boise State,2020,2,21,51
Josh Green,Dallas Mavericks,Arizona,2020,1,18,18
Jordan Nwora,Milwaukee Bucks,Louisville,2020,2,15,45
Jay Scrubb,Brooklyn Nets,John A. Logan,2020,2,25,55
James Wiseman,Golden State Warriors,Memphis,2020,1,2,2
Jalen Smith,Phoenix Suns,Maryland,2020,1,10,10
Jalen Harris,Toronto Raptors,Nevada-Reno,2020,2,29,59
Jahmi'us Ramsey,Sacramento Kings,Texas Tech,2020,2,13,43
Jaden McDaniels,Los Angeles Lakers,Washington,2020,1,28,28
Isaiah Stewart,Portland Trail Blazers,Washington,2020,1,16,16
Isaiah Joe,Philadelphia 76ers,Arkansas,2020,2,19,49
Isaac Okoro,Cleveland Cavaliers,Auburn,2020,1,5,5
Immanuel Quickley,Oklahoma City Thunder,Kentucky,2020,1,25,25
Grant Riller,Charlotte Hornets,College of Charleston,2020,2,26,56
Elijah Hughes,New Orleans Pelicans,Syracuse,2020,2,9,39
Devin Vassell,San Antonio Spurs,Florida State,2020,1,11,11
Zion Williamson,New Orleans Pelicans,Duke,2019,1,1,1
Vanja Marinkovic,Sacramento Kings,KK Partizan (Serbia),2019,2,30,60
Tyler Herro,Miami Heat,Kentucky,2019,1,13,13
Ty Jerome,Philadelphia 76ers,Virginia,2019,1,24,24
Tremont Waters,Boston Celtics,Louisiana State,2019,2,21,51
Terance Mann,LA Clippers,Florida State,2019,2,18,48
Talen Horton-Tucker,Orlando Magic,Iowa State,2019,2,16,46
Sekou Doumbouya,Detroit Pistons,Limoges CSP (France),2019,1,15,15
Rui Hachimura,Washington Wizards,Gonzaga,2019,1,9,9
Romeo Langford,Boston Celtics,Indiana,2019,1,14,14
RJ Barrett,New York Knicks,Duke,2019,1,3,3
Quinndary Weatherspoon,San Antonio Spurs,Mississippi State,2019,2,19,49
P.J. Washington,Charlotte Hornets,Kentucky,2019,1,12,12
Nickeil Alexander-Walker,Brooklyn Nets,Virginia Tech,2019,1,17,17
Nic Claxton,Brooklyn Nets,Georgia,2019,2,1,31
Nassir Little,Portland Trail Blazers,North Carolina,2019,1,25,25
Miye Oni,Golden State Warriors,Yale,2019,2,28,58
Mfiondu Kabengele,Brooklyn Nets,Florida State,2019,1,27,27
Matisse Thybulle,Boston Celtics,Washington,2019,1,20,20
Marial Shayok,Philadelphia 76ers,Virginia,2019,2,24,54
Luka Samanic,San Antonio Spurs,KK Olimpija (Slovenia),2019,1,19,19
Kyle Guy,New York Knicks,Virginia,2019,2,25,55
Kevin Porter Jr.,Milwaukee Bucks,Southern California,2019,1,30,30
Keldon Johnson,San Antonio Spurs,Kentucky,2019,1,29,29
KZ Okpala,Phoenix Suns,Stanford,2019,2,2,32
Justin Wright-Foreman,Utah Jazz,Hofstra,2019,2,23,53
Justin James,Sacramento Kings,Wyoming,2019,2,10,40
Jordan Poole,Golden State Warriors,Michigan,2019,1,28,28
Jordan Bone,New Orleans Pelicans,Tennessee,2019,2,27,57
Jaylen Nowell,Minnesota Timberwolves,Washington,2019,2,13,43
Jaylen Hands,LA Clippers,California-Los Angeles,2019,2,26,56
Jaxson Hayes,Atlanta Hawks,Texas,2019,1,8,8
Jarrett Culver,Phoenix Suns,Texas Tech,2019,1,6,6
Jarrell Brantley,Indiana Pacers,College of Charleston,2019,2,20,50
Jalen McDaniels,Charlotte Hornets,San Diego,2019,2,22,52
Ja Morant,Memphis Grizzlies,Murray State,2019,1,2,2
Isaiah Roby,Detroit Pistons,Nebraska,2019,2,15,45
Ignas Brazdeikis,Sacramento Kings,Michigan,2019,2,17,47
Grant Williams,Boston Celtics,Tennessee,2019,1,22,22
Goga Bitadze,Indiana Pacers,KK Mega Leks (Serbia),2019,1,18,18
Eric Paschall,Golden State Warriors,Villanova,2019,2,11,41
Dylan Windler,Cleveland Cavaliers,Belmont,2019,1,26,26
Didi Louzada,Atlanta Hawks,Sesi Franca (Brazil),2019,2,5,35
Dewan Hernandez,Toronto Raptors,Miami (FL),2019,2,29,59
Deividas Sirvydis,Dallas Mavericks,BC Lietuvos rytas (Lithuania),2019,2,7,37
De'Andre Hunter,Los Angeles Lakers,Virginia,2019,1,4,4
Darius Garland,Cleveland Cavaliers,Vanderbilt,2019,1,5,5
Darius Bazley,Utah Jazz,Princeton,2019,1,23,23
Daniel Gafford,Chicago Bulls,Arkansas,2019,2,8,38
Cody Martin,Charlotte Hornets,North Carolina State,2019,2,6,36
Coby White,Chicago Bulls,North Carolina,2019,1,7,7
Chuma Okeke,Orlando Magic,Auburn,2019,1,16,16
Carsen Edwards,Philadelphia 76ers,Purdue,2019,2,3,33
Cameron Johnson,Minnesota Timberwolves,North Carolina,2019,1,11,11
Cam Reddish,Atlanta Hawks,Duke,2019,1,10,10
Bruno Fernando,Philadelphia 76ers,Maryland,2019,2,4,34
Brandon Clarke,Oklahoma City Thunder,Gonzaga,2019,1,21,21
Bol Bol,Miami Heat,Oregon,2019,2,14,44
Alen Smailagic,New Orleans Pelicans,Santa Cruz (G League),2019,2,9,39
Admiral Schofield,Philadelphia 76ers,Tennessee,2019,2,12,42
Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16
Wendell Carter Jr.,Chicago Bulls,Duke,2018,1,7,7
Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52
Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15
Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5
Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51
Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58
Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47
Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54
Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11
Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40
Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27
Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56
Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30
Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25
Mo Bamba,Orlando Magic,Texas,2018,1,6,6
Mitchell Robinson,New York Knicks,,2018,2,6,36
Miles Bridges,LA Clippers,Michigan State,2018,1,12,12
Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10
Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14
Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5,35
Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2
Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18
Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26
Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60
Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38
Kevin Knox II,New York Knicks,Kentucky,2018,1,9,9
Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19
Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57
Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48
Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43
Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32
Jerome Robinson,LA Clippers,Boston College,2018,1,13,13
Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41
Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4
Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33
Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28
Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44
Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39
Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45
Grayson Allen,Utah Jazz,Duke,2018,1,21,21
George King,Phoenix Suns,Colorado,2018,2,29,59
Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37
Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17
Devonte' Graham,Atlanta Hawks,Kansas,2018,2,4,34
Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53
Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1
De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46
Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8
Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49
Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22
Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42
Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55
Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24
Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50
Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23
Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10
Wes Iwundu,Orlando Magic,Kansas State,2017,2,3,33
Vlatko Cancar,Denver Nuggets,KK Mega Leks (Serbia),2017,2,19,49
Tyler Lydon,Utah Jazz,Syracuse,2017,1,24,24
Tyler Dorsey,Atlanta Hawks,Oregon,2017,2,11,41
Tony Bradley,Los Angeles Lakers,North Carolina,2017,1,28,28
Thomas Bryant,Utah Jazz,Indiana,2017,2,12,42
Terrance Ferguson,Oklahoma City Thunder,Adelaide 36ers (Australia),2017,1,21,21
T.J. Leaf,Indiana Pacers,California-Los Angeles,2017,1,18,18
Sterling Brown,Philadelphia 76ers,Southern Methodist,2017,2,16,46
Sindarius Thornwell,Milwaukee Bucks,South Carolina,2017,2,18,48
Semi Ojeleye,Boston Celtics,Southern Methodist,2017,2,7,37
Sasha Vezenkov,Brooklyn Nets,FC Barcelona Basquet (Spain),2017,2,27,57
Ognjen Jaramaz,New York Knicks,KK Mega Leks (Serbia),2017,2,28,58
OG Anunoby,Toronto Raptors,Indiana,2017,1,23,23
Nigel Williams-Goss,Utah Jazz,Gonzaga,2017,2,25,55
Monte Morris,Denver Nuggets,Iowa State,2017,2,21,51
Mathias Lessort,Philadelphia 76ers,Nanterre 92 (France),2017,2,20,50
Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1
Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11
Luke Kennard,Detroit Pistons,Duke,2017,1,12,12
Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7
Kyle Kuzma,Brooklyn Nets,Utah,2017,1,27,27
Kadeem Allen,Boston Celtics,Arizona,2017,2,23,53
Justin Patton,Chicago Bulls,Creighton,2017,1,16,16
Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15
Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4
Josh Hart,Utah Jazz,Villanova,2017,1,30,30
Jordan Bell,Chicago Bulls,Oregon,2017,2,8,38
Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6
Jonah Bolden,Philadelphia 76ers,Red Star Belgrade (Serbia),2017,2,6,36
John Collins,Atlanta Hawks,Wake Forest,2017,1,19,19
Jayson Tatum,Boston Celtics,Duke,2017,1,3,3
Jawun Evans,Philadelphia 76ers,Oklahoma State,2017,2,9,39
Jarrett Allen,Brooklyn Nets,Texas,2017,1,22,22
Jaron Blossomgame,San Antonio Spurs,Clemson,2017,2,29,59
Jabari Bird,Boston Celtics,California,2017,2,26,56
Ivan Rabb,Orlando Magic,California,2017,2,5,35
Isaiah Hartenstein,Houston Rockets,BC Zalgiris (Lithuania),2017,2,13,43
Ike Anigbogu,Indiana Pacers,California-Los Angeles,2017,2,17,47
Harry Giles III,Portland Trail Blazers,Duke,2017,1,20,20
Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8
Frank Mason III,Sacramento Kings,Kansas,2017,2,4,34
Frank Jackson,Charlotte Hornets,Duke,2017,2,1,31
Edmond Sumner,New Orleans Pelicans,Xavier,2017,2,22,52
Dwayne Bacon,New Orleans Pelicans,Florida State,2017,2,10,40
Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13
Dillon Brooks,Houston Rockets,Oregon,2017,2,15,45
Derrick White,San Antonio Spurs,Colorado,2017,1,29,29
Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9
De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5
Davon Reed,Phoenix Suns,Miami (FL),2017,2,2,32
Damyean Dotson,New York Knicks,Houston,2017,2,14,44
D.J. Wilson,Milwaukee Bucks,Michigan,2017,1,17,17
Caleb Swanigan,Portland Trail Blazers,Purdue,2017,1,26,26
Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14
Anzejs Pasecniks,Orlando Magic,CB Gran Canaria (Spain),2017,1,25,25
